brand_name,year,month,units,gms,date,month_name,fuel_type
Platina,2026,4,34,2376044.0,2026-04-01,Apr 2026,ICE
Platina,2026,2,57,3706625.98,2026-02-01,Feb 2026,ICE
Platina,2024,10,147,10201193.84,2024-10-01,Oct 2024,ICE
Platina,2026,1,46,3069386.1,2026-01-01,Jan 2026,ICE
Platina,2025,1,43,2984111.2,2025-01-01,Jan 2025,ICE
Platina,2025,2,16,1114885.2,2025-02-01,Feb 2025,ICE
Platina,2024,7,4,277414.4,2024-07-01,Jul 2024,ICE
Platina,2025,7,42,3041419.0,2025-07-01,Jul 2025,ICE
Platina,2024,12,6,422908.4,2024-12-01,Dec 2024,ICE
Platina,2025,3,16,1112383.2,2025-03-01,Mar 2025,ICE
Oben Electric,2025,7,5,572715.37,2025-07-01,Jul 2025,EV
Oben Electric,2025,12,40,5479960.0,2025-12-01,Dec 2025,EV
Oben Electric,2025,10,117,14461758.14,2025-10-01,Oct 2025,EV
Oben Electric,2025,11,4,559996.0,2025-11-01,Nov 2025,EV
Oben Electric,2025,8,18,2063556.76,2025-08-01,Aug 2025,EV
Oben Electric,2026,1,50,6789950.0,2026-01-01,Jan 2026,EV
Oben Electric,2026,3,141,17954859.0,2026-03-01,Mar 2026,EV
Oben Electric,2026,4,43,5469957.0,2026-04-01,Apr 2026,EV
Oben Electric,2025,9,63,7314364.3,2025-09-01,Sep 2025,EV
Oben Electric,2026,2,16,1974984.0,2026-02-01,Feb 2026,EV
Platina,2025,10,451,30235740.36,2025-10-01,Oct 2025,ICE
Platina,2025,9,275,18458081.38,2025-09-01,Sep 2025,ICE
Platina,2025,8,64,4675958.4,2025-08-01,Aug 2025,ICE
Platina,2025,5,16,1219109.4,2025-05-01,May 2025,ICE
Platina,2024,9,24,1692358.4,2024-09-01,Sep 2024,ICE
Platina,2024,8,24,1695436.8,2024-08-01,Aug 2024,ICE
Platina,2025,4,14,994923.0,2025-04-01,Apr 2025,ICE
Platina,2025,6,44,3110132.4,2025-06-01,Jun 2025,ICE
Platina,2025,11,30,2020500.44,2025-11-01,Nov 2025,ICE
Platina,2025,12,39,2650816.1,2025-12-01,Dec 2025,ICE
Platina,2026,3,98,6517638.96,2026-03-01,Mar 2026,ICE
Platina,2024,11,7,492064.0,2024-11-01,Nov 2024,ICE
Simple Energy,2026,1,2,332379.1,2026-01-01,Jan 2026,EV
Triumph,2025,9,536,133450324.98,2025-09-01,Sep 2025,ICE
Hero Motocorp,2026,3,1168,92505834.03,2026-03-01,Mar 2026,ICE
Harley-Davidson X,2026,1,30,7618800.0,2026-01-01,Jan 2026,ICE
Harley-Davidson X,2025,9,94,25753000.0,2025-09-01,Sep 2025,ICE
Harley-Davidson X,2025,8,44,12158000.0,2025-08-01,Aug 2025,ICE
Eox,2025,9,129,5754678.82,2025-09-01,Sep 2025,EV
Eox,2026,1,59,2729750.77,2026-01-01,Jan 2026,EV
Eox,2025,1,100,4609079.8,2025-01-01,Jan 2025,EV
Eox,2026,3,67,3205555.85,2026-03-01,Mar 2026,EV
Eox,2025,3,57,2499899.63,2025-03-01,Mar 2025,EV
Eox,2025,4,16,644092.75,2025-04-01,Apr 2025,EV
Simple Energy,2026,4,22,3675335.27,2026-04-01,Apr 2026,EV
Simple Energy,2025,11,16,2305233.04,2025-11-01,Nov 2025,EV
Simple Energy,2025,7,34,5135174.24,2025-07-01,Jul 2025,EV
Simple Energy,2026,3,105,17569867.92,2026-03-01,Mar 2026,EV
Simple Energy,2025,12,2,234719.76,2025-12-01,Dec 2025,EV
Simple Energy,2025,9,64,9811959.84,2025-09-01,Sep 2025,EV
Simple Energy,2025,8,15,2315125.68,2025-08-01,Aug 2025,EV
Simple Energy,2025,10,151,22055496.0,2025-10-01,Oct 2025,EV
