brand_name,year,month,units,gms
PLATINA,2026,4,34,2376044.00000000000000
PLATINA,2026,2,57,3706625.98000000000000
PLATINA,2024,10,147,10201193.84000000000000
PLATINA,2026,1,46,3069386.10000000000000
PLATINA,2025,1,43,2984111.20000000000000
PLATINA,2025,2,16,1114885.20000000000000
PLATINA,2024,7,4,277414.40000000000000
PLATINA,2025,7,42,3041419.00000000000000
PLATINA,2024,12,6,422908.40000000000000
PLATINA,2025,3,16,1112383.20000000000000
OBEN ELECTRIC,2025,7,5,572715.37000000000000
OBEN ELECTRIC,2025,12,40,5479960.00000000000000
OBEN ELECTRIC,2025,10,117,14461758.14000000000000
OBEN ELECTRIC,2025,11,4,559996.00000000000000
OBEN ELECTRIC,2025,8,18,2063556.76000000000000
OBEN ELECTRIC,2026,1,50,6789950.00000000000000
OBEN ELECTRIC,2026,3,141,17954859.00000000000000
OBEN ELECTRIC,2026,4,43,5469957.00000000000000
OBEN ELECTRIC,2025,9,63,7314364.30000000000000
OBEN ELECTRIC,2026,2,16,1974984.00000000000000
PLATINA,2025,10,451,30235740.36000000000000
PLATINA,2025,9,275,18458081.38000000000000
PLATINA,2025,8,64,4675958.40000000000000
PLATINA,2025,5,16,1219109.40000000000000
PLATINA,2024,9,24,1692358.40000000000000
PLATINA,2024,8,24,1695436.80000000000000
PLATINA,2025,4,14,994923.00000000000000
PLATINA,2025,6,44,3110132.40000000000000
PLATINA,2025,11,30,2020500.44000000000000
PLATINA,2025,12,39,2650816.10000000000000
PLATINA,2026,3,98,6517638.96000000000000
PLATINA,2024,11,7,492064.00000000000000
SIMPLE ENERGY,2026,1,2,332379.10000000000000
TRIUMPH,2025,9,536,133450324.98000000000000
HERO MOTOCORP,2026,3,1168,92505834.03000000000000
HARLEY-DAVIDSON X,2026,1,30,7618800.00000000000000
HARLEY-DAVIDSON X,2025,9,94,25753000.00000000000000
HARLEY-DAVIDSON X,2025,8,44,12158000.00000000000000
EOX,2025,9,129,5754678.82000000000000
EOX,2026,1,59,2729750.77000000000000
EOX,2025,1,100,4609079.80000000000000
EOX,2026,3,67,3205555.85000000000000
EOX,2025,3,57,2499899.63000000000000
EOX,2025,4,16,644092.75000000000000
SIMPLE ENERGY,2026,4,22,3675335.27000000000000
SIMPLE ENERGY,2025,11,16,2305233.04000000000000
SIMPLE ENERGY,2025,7,34,5135174.24000000000000
