date,year,month,month_name,amazon_online_units,amazon_online_gms,amazon_ev_units,amazon_ice_units
2024-05-01,2024,5,May 2024,2100,210000000,,
2024-06-01,2024,6,Jun 2024,2300,230000000,,
2024-07-01,2024,7,Jul 2024,2500,255000000,,
2024-08-01,2024,8,Aug 2024,2800,285000000,,
2024-09-01,2024,9,Sep 2024,2900,295000000,,
2024-10-01,2024,10,Oct 2024,3200,330000000,,
2024-11-01,2024,11,Nov 2024,3100,320000000,,
2024-12-01,2024,12,Dec 2024,2974,146400000,,
2025-01-01,2025,1,Jan 2025,3800,405000000,,
2025-02-01,2025,2,Feb 2025,3600,385000000,,
2025-03-01,2025,3,Mar 2025,4200,450000000,,
2025-04-01,2025,4,Apr 2025,4100,440000000,,
2025-05-01,2025,5,May 2025,4300,460000000,,
2025-06-01,2025,6,Jun 2025,4500,480000000,,
2025-07-01,2025,7,Jul 2025,4800,515000000,,
2025-08-01,2025,8,Aug 2025,4600,495000000,,
2025-09-01,2025,9,Sep 2025,4200,450000000,,
2025-10-01,2025,10,Oct 2025,5200,560000000,,
2025-11-01,2025,11,Nov 2025,5100,545000000,,
2025-12-01,2025,12,Dec 2025,5895,609400000,,
2026-01-01,2026,1,Jan 2026,4100,495000000,,
2026-02-01,2026,2,Feb 2026,3800,458000000,,
2026-03-01,2026,3,Mar 2026,4200,506000000,,
2026-04-01,2026,4,Apr 2026,3218,385300000,,
