date,offline_registrations,year,month,month_name,daily_avg_offline,vehicle_category
2025-01-01,1576748.0,2025,1,Jan 2025,60644,TWO WHEELER (ALL)
2025-02-01,1751468.0,2025,2,Feb 2025,67364,TWO WHEELER (ALL)
2025-03-01,1716582.0,2025,3,Mar 2025,66022,TWO WHEELER (ALL)
2025-04-01,1508592.0,2025,4,Apr 2025,58023,TWO WHEELER (ALL)
2025-05-01,1418203.0,2025,5,May 2025,54546,TWO WHEELER (ALL)
2025-06-01,1432724.0,2025,6,Jun 2025,55105,TWO WHEELER (ALL)
2025-07-01,1345661.0,2025,7,Jul 2025,51756,TWO WHEELER (ALL)
2025-08-01,3239836.0,2025,8,Aug 2025,124609,TWO WHEELER (ALL)
2025-09-01,2645965.0,2025,9,Sep 2025,101768,TWO WHEELER (ALL)
2025-10-01,1394828.0,2025,10,Oct 2025,53647,TWO WHEELER (ALL)
2026-01-01,1924391.0,2026,1,Jan 2026,74015,TWO WHEELER (ALL)
2026-02-01,1735465.0,2026,2,Feb 2026,66749,TWO WHEELER (ALL)
2026-03-01,2024564.0,2026,3,Mar 2026,77868,TWO WHEELER (ALL)
2026-04-01,1964793.0,2026,4,Apr 2026,75569,TWO WHEELER (ALL)
2026-05-01,663786.0,2026,5,May 2026,25530,TWO WHEELER (ALL)
