S No,Vehicle Category,Month Wise,TOTAL,JAN,FEB,MAR,APR,_year,_state,_scraped_at,MAY,JUN,JUL,AUG,SEP,OCT,NOV
1,FOUR WHEELER (INVALID CARRIAGE),304,253,232,283,4,"1,076",2026,All Vahan4 Running States,2026-05-03T14:02:11.437866,,,,,,,
2,HEAVY GOODS VEHICLE,"32,221","32,310","32,388","31,986",505,"1,29,410",2026,All Vahan4 Running States,2026-05-03T14:02:11.437882,,,,,,,
3,HEAVY MOTOR VEHICLE,216,336,226,240,5,"1,023",2026,All Vahan4 Running States,2026-05-03T14:02:11.437885,,,,,,,
4,HEAVY PASSENGER VEHICLE,"2,121","3,135","2,702","2,309",87,"10,354",2026,All Vahan4 Running States,2026-05-03T14:02:11.437887,,,,,,,
5,LIGHT GOODS VEHICLE,"69,505","60,891","61,325","55,643",827,"2,48,191",2026,All Vahan4 Running States,2026-05-03T14:02:11.437888,,,,,,,
6,LIGHT MOTOR VEHICLE,"6,03,398","4,52,222","4,92,204","4,44,050","8,705","20,00,579",2026,All Vahan4 Running States,2026-05-03T14:02:11.437890,,,,,,,
7,LIGHT PASSENGER VEHICLE,"35,099","39,651","41,787","41,044",562,"1,58,143",2026,All Vahan4 Running States,2026-05-03T14:02:11.437891,,,,,,,
8,MEDIUM GOODS VEHICLE,"5,861","5,872","5,715","5,700",61,"23,209",2026,All Vahan4 Running States,2026-05-03T14:02:11.437893,,,,,,,
9,MEDIUM MOTOR VEHICLE,730,732,700,622,13,"2,797",2026,All Vahan4 Running States,2026-05-03T14:02:11.437894,,,,,,,
10,MEDIUM PASSENGER VEHICLE,"1,805","2,271","2,648","3,463",50,"10,237",2026,All Vahan4 Running States,2026-05-03T14:02:11.437902,,,,,,,
11,OTHER THAN MENTIONED ABOVE,"8,457","8,628","8,887","7,146",190,"33,308",2026,All Vahan4 Running States,2026-05-03T14:02:11.437903,,,,,,,
12,THREE WHEELER(NT),125,107,118,112,0,462,2026,All Vahan4 Running States,2026-05-03T14:02:11.437905,,,,,,,
13,THREE WHEELER(T),"1,27,012","1,17,055","1,09,682","1,06,796","2,053","4,62,598",2026,All Vahan4 Running States,2026-05-03T14:02:11.437906,,,,,,,
14,TWO WHEELER (INVALID CARRIAGE),"2,609","5,326","1,918","1,195",1,"11,049",2026,All Vahan4 Running States,2026-05-03T14:02:11.437908,,,,,,,
15,TWO WHEELER(NT),"18,58,476","17,08,003","19,58,175","19,12,776","43,397","74,80,827",2026,All Vahan4 Running States,2026-05-03T14:02:11.437909,,,,,,,
16,TWO WHEELER(T),"2,329","2,378","2,702","3,483",29,"10,921",2026,All Vahan4 Running States,2026-05-03T14:02:11.437911,,,,,,,
